number,ortho,mean
1393,dwornea,-1.382831728
3599,ocang,-1.38264089
3732,ollarquawk,-1.381547397
790,bussivi,-1.38101501
2591,jabduum,-1.380719158
4831,shuvno,-1.380695389
1379,duspeoso,-1.379293369
147,alrebou,-1.379147373
2973,lnlockk,-1.378908039
440,auncharg,-1.378524899
3146,masnou,-1.378261127
1901,firstoi,-1.377770976
3643,odpocua,-1.377300714
4215,phetiershn,-1.376355081
2437,idithmim,-1.375737192
2860,lagerb,-1.37502914
2209,goutiso,-1.374630548
2213,goutywer,-1.373868566
4026,ousalm,-1.373812833
3990,otshim,-1.373522184
3717,okomi,-1.373185786
2496,ingummuo,-1.373141433
3369,naqisia,-1.372943385
2116,gicorb,-1.372526586
5331,torturaj,-1.372269697
1440,ebountaph,-1.371999518
683,boisocu,-1.371778872
228,aphthatfer,-1.371629251
1748,etertiae,-1.371290392
515,aymedaf,-1.371195089
6034,ytalk,-1.370596578
3631,odgcord,-1.368235742
4176,perlowguv,-1.368217188
4365,pstalky,-1.368141395
3701,oinyod,-1.367848484
4223,phiuspaw,-1.367364115
568,baobuo,-1.366261764
1025,ciouspad,-1.366165006
402,athlegauch,-1.366133469
3556,nyenvoy,-1.365847142
1006,chwach,-1.36481078
4977,splorzoi,-1.364271246
5283,tialn,-1.363964615
2752,kaurisia,-1.363392191
3272,mophpsed,-1.362316263
1106,coypukon,-1.361167643
3682,oilizzalls,-1.360614026
4495,reckoaucha,-1.360357449
434,aufak,-1.359494169
855,celrt,-1.357878943
4227,phuterfig,-1.357622836
995,churlekosh,-1.357603265
514,aymadoc,-1.357423399
2038,gagonk,-1.357335652
2074,gatiannoys,-1.357189003
1675,erjuroyer,-1.357154619
4533,ripurgom,-1.356015777
2809,knickp,-1.35540983
1448,ecib,-1.354695496
5210,thiumeroy,-1.354102065
4317,posaf,-1.352884124
1644,erfashmium,-1.351229664
1964,forkymor,-1.351154953
2515,ippenog,-1.351035545
3966,otejan,-1.35081867
5604,utlogia,-1.350805683
3995,ouffelica,-1.350320081
4042,outyrio,-1.349804914
3590,obsk,-1.349038785
3367,naphnev,-1.348564164
3669,ognorks,-1.347424098
1853,fedbyd,-1.346304919
495,awaynsh,-1.345580895
549,babyj,-1.344881229
4542,rizonsh,-1.344853729
5941,woomphib,-1.343646478
72,advilsp,-1.343618502
6039,yuksius,-1.343526126
5259,thwacksius,-1.343284773
1571,enha,-1.343280032
3888,ormoterky,-1.342986855
1671,eriv,-1.342938147
3415,nephuuds,-1.342787677
3694,ointlamph,-1.342464884
2487,indowch,-1.341897612
4726,shallfib,-1.340047646
35,acqueeteach,-1.339739653
2254,gurgyboff,-1.339543304
3906,orsigen,-1.339349163
6024,yogmiger,-1.339082969
5574,urquo,-1.33831519
3325,mumav,-1.337323585
1269,diumacar,-1.335998161
2320,havimam,-1.335673314
2495,ingribiad,-1.335632267
4861,slevodow,-1.334748593
288,argertowdow,-1.334669209
5621,vadacarv,-1.334452792
2020,fulv,-1.333963757
1840,fathezi,-1.333908436
5927,womflyt,-1.332870761
2972,llosse,-1.332522969
4256,piuswoo,-1.33062362
837,cauteulb,-1.33000053
2536,irnderbar,-1.327775434
2575,itul,-1.327393183
5242,thumcarc,-1.326603319
3509,notiacoit,-1.32656346
1031,ckersky,-1.326528353
5432,uddemfy,-1.326215574
3058,lshning,-1.326168332
917,chaucuo,-1.326036015
2003,fuffrowl,-1.324648677
3455,nnecity,-1.324513192
239,aptiacosh,-1.324357
3579,oborzoi,-1.324097974
4646,sahi,-1.323002788
3188,methadjac,-1.322566238
5424,uccajerk,-1.322010051
3938,osesorl,-1.321769931
4825,shuffawf,-1.32120009
802,cadch,-1.320678511
4253,piperju,-1.320420629
103,aguuro,-1.320279579
3969,otetuum,-1.320094672
770,buckpitl,-1.319085483
1136,curbynif,-1.318258664
2265,gwacha,-1.31800373
2679,joistono,-1.317880315
1293,doilyry,-1.316834126
2009,fullb,-1.316397866
3958,ossimshaw,-1.315781515
4523,riatll,-1.315304781
5930,woofaeror,-1.314173234
1881,fibeylln,-1.313405753
4023,ouridavo,-1.31239922
5133,thanivno,-1.312321215
5020,suchll,-1.312274285
5708,vexallb,-1.312091161
1621,erburliza,-1.312080459
3692,ointat,-1.311802499
1630,erchilf,-1.31056085
3979,otiondor,-1.310174544
5461,umbking,-1.309956505
3363,nangiien,-1.309899857
1629,erchig,-1.309786543
4259,pladogi,-1.308618226
1376,durgidua,-1.308517943
3679,oilib,-1.308012157
4063,owerjug,-1.307989534
730,bousaryo,-1.307976439
1963,forfuju,-1.306741787
535,aystoi,-1.306465484
1335,doyenvol,-1.305509554
3696,ointorp,-1.305169791
3349,nacearoff,-1.304862551
937,cherija,-1.302866108
1764,etuld,-1.302103262
3449,ninoia,-1.301203221
1835,fasnou,-1.300845518
3395,neatecdo,-1.300841728
2186,googerknif,-1.29992547
5798,vowsyseam,-1.29950115
3018,lorcsurp,-1.299382724
1159,cyfirndor,-1.298988993
3398,necomf,-1.298770592
3982,otls,-1.297683733
5714,viescu,-1.297475816
2757,kecocia,-1.297042372
3128,mamnaza,-1.296216663
4596,rowsingri,-1.293962278
1611,equag,-1.293883271
2158,goagma,-1.29386988
2423,iciak,-1.293723948
5968,xenofe,-1.293666924
5958,wounap,-1.293101407
2384,hulytia,-1.293000847
1505,egib,-1.29244542
2087,gawpsturf,-1.292404982
2962,llardnasher,-1.290086905
2624,jannanoop,-1.285835862
62,adortd,-1.283562379
5965,wurpitia,-1.283436346
5867,waxki,-1.283396095
5117,terpoi,-1.283302511
5646,varofferb,-1.282423368
5021,suckj,-1.282087579
6015,yobbath,-1.281621337
769,buccahau,-1.281269443
2720,judgibb,-1.280613126
409,atki,-1.280044649
2781,keum,-1.279868529
857,celsp,-1.279789921
3665,ogilm,-1.279750326
4906,sockahau,-1.278782245
3934,osectu,-1.278454812
1665,ergonsh,-1.277949317
3136,maptiak,-1.276848562
2938,liji,-1.27669645
3743,omagips,-1.276463695
3725,olfrau,-1.275429718
2567,itforthet,-1.275221747
5177,thianslaut,-1.274992396
1155,cutnemur,-1.274602478
213,aortcud,-1.272852689
3137,margusnou,-1.272019661
1726,esfaso,-1.271970279
5018,succadher,-1.271537533
2093,gecklouch,-1.271352801
1397,dysetrt,-1.270884694
6014,ymoosed,-1.270449884
461,authefeuth,-1.270441095
5450,ugguria,-1.270285656
469,autisll,-1.270252922
3603,ocauntock,-1.269906569
5066,talg,-1.269435028
6022,yoggeroin,-1.269423653
1143,curmaj,-1.269346767
2407,iarac,-1.269309902
698,boobyj,-1.269284033
4844,siumafor,-1.26893421
4843,siuma,-1.267974178
3446,niduum,-1.267547346
117,alkavul,-1.266755201
2124,gircalch,-1.266652729
5741,vocoerso,-1.265434907
5436,uddiggy,-1.265192652
5592,ussanoia,-1.264901677
3458,nniko,-1.264128646
204,anpa,-1.263409286
602,bedlaln,-1.262891732
119,alkiv,-1.262374181
3715,okaysazoo,-1.262199494
2891,lawakma,-1.2619404
4479,rawnmowsh,-1.261470101
1428,eatusfeach,-1.260062609
3232,mmermy,-1.259627779
1604,eptionnoit,-1.259625283
2041,gallilarf,-1.258867301
1631,erchilth,-1.258759671
5954,worphadung,-1.258670231
5999,yenocet,-1.257912213
243,araj,-1.257889009
70,adunga,-1.257285223
2462,ijerus,-1.256797262
576,bareanso,-1.256640962
695,boncoher,-1.256498572
3763,omtompor,-1.256223064
3829,orburseger,-1.25607677
3120,majoi,-1.255890282
5435,udderzebby,-1.25542494
1614,eradef,-1.255414409
6017,yobleap,-1.25443767
2561,iteroi,-1.254082183
5422,ubminga,-1.25380584
2655,jerbeutha,-1.253522775
4153,peoso,-1.252657705
2324,heapoi,-1.25244584
1005,chuxu,-1.252377584
3316,moxeaux,-1.252019564
2784,kiaph,-1.250003967
2758,kedgepsed,-1.249967382
3364,nanglag,-1.248984988
1351,droellth,-1.248973385
4609,ructiald,-1.248923194
1026,circatiae,-1.248850611
5162,therdanoi,-1.248709391
5578,uscao,-1.248350758
5385,turgidab,-1.248005187
5391,turtyph,-1.246896401
3784,oozilch,-1.246639968
2131,girlav,-1.246438571
6067,ziantoots,-1.246091037
3951,osphagi,-1.245317795
2824,knuckyd,-1.244974872
5467,umfloth,-1.244409392
37,actiepoys,-1.244233797
4832,siado,-1.243824349
2547,isib,-1.243500953
3818,orbeav,-1.242686784
4638,ryhuous,-1.242380949
5098,temlef,-1.242212012
4458,raphadych,-1.241942263
4600,royanvy,-1.238493777
1468,edgyheno,-1.238358429
3676,oguppedon,-1.236610368
3933,oseareath,-1.236557181
900,charaui,-1.236457015
2785,kibouzo,-1.235441423
2677,joinusua,-1.234239165
3104,lyprtia,-1.233269313
3080,luraudip,-1.232474677
1718,eryriat,-1.232437178
480,aviadher,-1.232034272
4797,shrej,-1.231568147
498,awierra,-1.231423216
2889,laurearof,-1.231251764
2548,isierria,-1.230927629
5486,unct,-1.230615392
3516,nouzo,-1.230274384
4328,pouserbor,-1.229993477
4442,ragoit,-1.229074783
453,auspoi,-1.228780321
1404,eafben,-1.228113294
2703,jotroue,-1.228001968
417,atospood,-1.227909818
5787,vortsu,-1.227502138
2585,ivulbeach,-1.227406331
3457,nnexor,-1.22738974
3741,omaccoun,-1.227335202
5544,urbuo,-1.226858264
524,ayoncarpor,-1.226818731
1511,ejog,-1.226732564
2835,kword,-1.226314753
1868,ferioroy,-1.225641553
2210,goutisual,-1.224149174
5835,wakacoif,-1.223242509
324,arslase,-1.222958115
4327,pouscou,-1.222761385
2727,jumquois,-1.222646362
2378,huchupoil,-1.222593338
1518,eleastoi,-1.22227825
4990,spudg,-1.222118035
1961,forcoag,-1.221950943
3767,ondfam,-1.221781932
3456,nnetheros,-1.221391916
427,aucheft,-1.220204881
6091,zookagi,-1.220115189
4448,ralluv,-1.219571664
3040,loutejosh,-1.218934083
3630,odforammy,-1.217814696
1777,eviathi,-1.217763255
4774,shesorsti,-1.217224826
2690,jordallowth,-1.216604174
1306,doogliv,-1.216298791
5963,wountiv,-1.215709083
2644,jeheath,-1.214624057
3968,oterau,-1.213382544
5444,ueduous,-1.213238191
2205,gouforker,-1.212371327
5399,twaka,-1.212130987
4593,rowesscha,-1.21167145
622,biahaw,-1.211571926
2445,iels,-1.211525503
1319,dousterwor,-1.211178316
5767,voodilmy,-1.210420686
1391,dwitheat,-1.208854585
5379,tunctu,-1.208533634
2160,gobviot,-1.20852616
3113,mafak,-1.207038967
3230,miumafoul,-1.207005895
186,angsidip,-1.206800624
5675,velu,-1.20627793
